Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-04-07,149.3202,149.3898,146.8053,147.5082,695356.00144513
2021-04-08,148.6077,150.3894,148.2708,150.1917,754007.1404974
2021-04-09,150.8649,152.9736,150.4779,152.7162,601615.59419913
2021-04-12,152.9937,153.8343,152.3196,152.7063,604467.140175
2021-04-13,153.0033,154.6065,152.3991,154.5081,541863.43314407
2021-04-14,153.5172,155.2803,153.369,154.032,564630.34591443
2021-04-15,154.3092,157.6455,154.3092,156.5865,673444.6534787
2021-04-16,157.4376,158.0025,156.1707,156.7056,1035034.420745
2021-04-19,156.4083,156.438,154.0518,155.1909,839942.41286713
2021-04-20,155.4783,157.7748,155.3787,156.2205,1033979.863891
2021-04-21,156.9531,158.4774,153.6861,155.8638,1135706.2160486
2021-04-22,156.9129,158.8146,155.8239,156.2601,656743.46284263
2021-04-23,156.7452,159.735,156.1011,158.9427,695095.3925674
2021-04-26,159.2796,159.3093,156.1212,156.5664,565487.93094227
2021-04-27,156.3285,157.3884,155.2605,157.32,677977.02570463
2021-04-28,157.6854,157.9626,155.2704,156.1908,649613.082735
2021-04-29,157.3386,158.4774,155.9433,158.3781,588330.60210737
2021-04-30,158.0622,158.7945,157.0026,158.0325,525712.7535094
2021-05-03,158.5668,160.0818,157.5372,158.9625,648395.89786043
2021-05-04,158.9823,160.1202,156.3486,160.002,1009858.3910237
2021-05-05,160.4274,160.6848,158.7153,160.0122,795164.15104933
2021-05-06,160.4874,160.4874,158.6157,160.0419,628703.76580227
2021-05-07,160.3089,161.3487,159.9423,160.992,503755.95050617
2021-05-10,162.15,163.1793,159.8928,159.9921,636394.7580306
2021-05-11,157.8048,158.3484,155.6661,156.2703,835310.0395602
2021-05-12,155.4282,156.933,153.3195,154.9236,1144176.0045743
2021-05-13,155.319,158.3097,155.319,157.4184,469733.36050963
2021-05-14,158.2002,161.3688,157.8732,160.8039,713523.87460223
2021-05-17,160.6452,161.2992,159.5766,160.2099,507005.48058213
2021-05-18,160.5567,160.962,158.3583,158.4279,535785.58966657
2021-05-19,156.7752,157.6956,155.9829,157.4577,663175.85560727
2021-05-20,158.0025,160.962,157.7649,159.9228,424874.2897375
2021-05-21,159.3684,161.2692,159.3492,160.329,1379738.1468923
2021-05-24,160.7844,162.4074,160.7844,161.3487,412323.6490182
2021-05-25,162.0117,162.5562,160.2696,160.7547,499229.6389518
2021-05-26,161.1015,162.774,161.0616,161.8536,464300.97855483
2021-05-27,162.1113,162.5862,161.3586,162.3783,739485.77140443
2021-05-28,163.5366,164.2089,162.5067,163.8435,479329.42383623
2021-06-01,164.5563,165.0015,160.7145,160.8828,660738.45552233
2021-06-02,161.9919,163.7244,161.4174,163.2294,962018.47994873
2021-06-03,163.2786,165.081,162.636,164.4177,811639.07661323
2021-06-04,165.021,166.7148,163.9815,166.5456,578427.46475427
2021-06-07,167.2098,167.298,164.9715,165.2286,593799.3480916
2021-06-08,165.7734,166.665,165.1203,165.2886,651805.0256212
2021-06-09,165.7338,165.8628,164.7837,165.4476,569964.74701213
2021-06-10,166.4175,166.4175,164.9616,165.2286,570908.19155393
2021-06-11,167.1102,169.8225,166.7931,169.7439,850492.02185483
2021-06-14,169.2879,171.9216,168.3279,171.9117,697281.274782
2021-06-15,172.3368,174.2583,171.8223,173.0208,678394.20193137
2021-06-16,172.9713,175.0701,172.4562,174.0705,983908.61556467
2021-06-17,174.7929,177.1878,173.3766,176.4558,1169255.0635505
2021-06-18,174.9408,175.4853,172.011,172.5357,1821573.2260316
2021-06-21,173.5455,175.9506,172.6242,175.4658,1065051.9169426
2021-06-22,175.6137,176.4057,174.9507,175.386,678741.68043497
2021-06-23,175.6833,176.2977,174.318,174.6636,965736.7019598
2021-06-24,175.5849,175.9704,174.0705,174.5058,883560.05607837
2021-06-25,175.278,175.6137,173.9013,174.7728,804416.77632007
2021-06-28,175.1982,175.3959,173.7039,173.8317,999326.9640507
2021-06-29,174.3864,174.9906,173.3766,173.5743,675398.2099496
2021-06-30,173.2782,173.436,171.9315,172.5357,1186135.0439979
2021-07-01,174.594,174.594,172.5357,172.7634,1144722.475128
2021-07-02,173.2284,174.753,172.674,174.585,987302.59164647
2021-07-06,174.9708,175.0992,172.4262,173.0895,687044.80049233
2021-07-07,173.7831,173.9709,172.0311,172.8912,728071.5066054
2021-07-08,171.1293,172.1193,170.3571,170.862,658978.8405418
2021-07-09,171.1791,172.644,171.0213,172.506,520122.79409367
2021-07-12,172.5156,177.6342,172.5156,176.3172,1169404.5601159
2021-07-13,176.7726,177.6432,175.0602,175.7727,907159.30107833
2021-07-14,176.04,176.04,172.9809,174.783,723734.08598173
2021-07-15,174.4557,176.1681,173.9511,175.3377,662022.30778423
2021-07-16,175.1784,176.8908,174.783,175.2381,934989.9049494
2021-07-19,174.3963,175.3176,172.6641,173.8716,943568.7855634
2021-07-20,174.4758,179.3367,173.3466,177.5448,1149304.3428385
2021-07-21,177.9801,183.5535,177.9801,182.8311,1320364.7778107
2021-07-22,184.0782,184.7223,181.7019,181.9107,1046942.6302774
2021-07-23,182.6433,184.9899,182.2266,184.2762,749309.1099151
2021-07-26,183.6333,184.0686,181.0293,183.1284,694772.1567501
2021-07-27,182.4846,184.5933,181.8114,182.2467,675643.6671484
2021-07-28,182.3262,182.6133,180.7323,182.0988,606221.70459587
2021-07-29,182.4456,184.0485,181.1286,183.2181,575604.2019124
2021-07-30,183.0987,184.6626,182.346,183.2664,628107.7997641
2021-08-02,184.8108,185.4453,183.5535,184.9401,564362.66625327
2021-08-03,185.6925,186.0282,184.2378,185.1777,618541.02968343
2021-08-04,184.6431,186.9102,184.1676,185.8506,742664.59364537
2021-08-05,186.4845,187.1475,184.029,185.1873,687814.5057823
